PID,Year,DOI,Keywords,Numbers
264342,2004,,,"['276', '296', '2347', '276', '1751']"
297627,2004,,IS design;coordination;praxis;construction of social reality;shared meaning,"['276', '296', '2347', '276', '1751']"
243032,2004,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
267047,2004,10.1029/2004JA010436,antenna;sounder-accelerated electrons;particle-in-cell simulation,"['276', '296', '2347', '276', '1751']"
243852,2004,,,"['276', '296', '2347', '276', '1751']"
266622,2004,10.1238/Physica.Regular.069a00456,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256553,2004,,plasma physics,"['276', '296', '2347', '276', '1751']"
242845,2004,,,"['276', '296', '2347', '276', '1751']"
243031,2004,,,"['276', '296', '2347', '276', '1751']"
242907,2004,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '281', '2174']"
242634,2004,,,"['276', '1751', '276', '281', '2174', '276', '296', '2347', '276', '1751']"
22273,2004,10.1109/SVVG.2004.14,Adaptive decompression;Image quality measures;Medical imaging;Multiresolution;Transfer function;Volume compression;Volume rendering;Wavelet transform,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751']"
243036,2004,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
810745,2004,,,"['276', '296', '6850', '276', '1751', '276', '297', '16250', '276', '1750', '276', '297', '16250', '276', '1750', '276', '297', '16250', '276', '1750']"
20597,2004,10.1117/12.525997,Artificial neural networks;Image Synthesis;Principal Component Analysis;Rendering;Weather Prediction Data,"['276', '296', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751']"
269154,2004,10.1007/978-3-540-30200-1_10,,"['276', '296', '2347', '276', '1751']"
243027,2004,,,"['276', '296', '6850']"
18052,2005,10.1109/IV.2005.1,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
269011,2005,10.1007/11574798_10,,"['276', '296', '2347', '276', '1751']"
252424,2005,,,"['276', '1751', '276', '296', '276', '296', '2347', '276', '1751']"
264345,2005,,,"['276', '296', '2347', '276', '1751']"
264344,2005,,,"['276', '296', '2347', '276', '1751']"
249236,2005,10.1109/TPS.2005.845012,Cosmic ray generation;Electron acceleration;Relativistic proton beams,"['276', '296', '2347', '276', '1751']"
22274,2005,10.2312/VisSym/EuroVis05/263-270,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
16959,2005,10.1109/ISMAR.2005.32,,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751']"
297223,2005,,IS design;coordination;praxis;co-construction of social reality;shared meaning.,"['276', '296', '2347', '276', '1751']"
23453,2005,10.1109/WHC.2005.62,,"['276', '296', '2347', '276', '1751', '276', '296', '2346', '276', '1751', '276', '296', '2347', '276', '1751']"
23452,2005,10.1117/12.587029,Computational Fluid Dynamics;Reactive Force Feedback;Vector Data;Volume Haptics,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
252275,2005,,,"['276', '296', '2347', '276', '1751', '276', '296', '276', '296', '276', '296', '2347', '276', '1751']"
252274,2005,,,"['276', '296', '276', '296', '2347', '276', '1751']"
252261,2005,10.3182/20050703-6-CZ-1902.00096,Identification,"['276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751', '276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751']"
297424,2005,10.1016/j.ijproman.2008.05.009,anatomy;affordance categorization;activity theory;the Activity Domain Theory;activity modalities;practical applications;complex systems,"['276', '296', '2347', '276', '1751']"
251838,2005,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
16962,2005,10.1145/1149488.1149504,CAD;augmented reality;mobile phone,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751']"
253104,2005,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
250240,2005,10.1063/1.2055032,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
269006,2005,10.1007/11595014_3,,"['276', '296', '2347', '276', '1751']"
253103,2005,,,"['276', '296', '2347', '276', '1751']"
249235,2005,10.1109/TPS.2005.845325,Cosmic ray generation;Ion holes;Relativistic proton beams,"['276', '296', '2347', '276', '1751']"
251816,2005,,Geographical Information Systems;GIS,"['276', '296', '2347', '276', '1751']"
18055,2005,10.1109/INFVIS.2005.1532138,Clustering;Feature animation;Parallel coordinates;Transfer function,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
251857,2005,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '281', '2174']"
244830,2005,10.1017/S0022377804003514,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
252272,2005,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
23454,2005,,Proxy-based volume haptics;orthogonal constraints;haptic primitives,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
297016,2005,10.1016/j.ijproman.2008.05.009,PLM foundation;Activity Domain Theory;sociotechnical perspective;industrial application,"['276', '296', '2347', '276', '1751']"
16960,2005,10.1145/1152399.1152430,augmented reality;manipulation;mobile phone,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751']"
252270,2005,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
249237,2005,10.1109/TPS.2005.845129,Cosmic ray generation;Electron acceleration;Relativistic proton beams,"['276', '296', '2347', '276', '1751']"
252276,2005,,,"['276', '296', '2347', '276', '1751']"
251817,2005,,,"['276', '296', '2347', '276', '1751']"
268953,2006,10.1007/11875604_60,,"['276', '296', '2347', '276', '1751', '276', '296', '276', '1751']"
16965,2006,10.1145/1152215.1152245,Algorithms;Design;Human Factors;Measurement;intelligent environments;mobile phone augmented reality;sensor networks;visualization,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
259201,2006,,,"['276', '1751', '276', '296', '276', '296', '2347', '276', '1751']"
22277,2006,10.2312/VG/VG06/039-046,Viewing algorithms; Image Processing; Computer Vision,"['276', '296', '2347', '276', '1751']"
271031,2006,10.1016/j.infsof.2006.01.007,Common understanding;Coordination;Distributed software development;Flexible IS/IT support;Integration centric engineering;Telecom systems,"['276', '296', '2347', '276', '1751']"
257022,2006,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
256650,2006,,,"['276', '297', '301', '276', '1750', '276', '296', '2347', '276', '1751']"
297119,2006,,cognition;congruence of mind – social reality;activity modalities;communal meaning;ontological categories;Jackendoff’s theory of meaning,"['276', '296', '2347', '276', '1751']"
133596,2006,10.1145/1174429.1174487,HDR;Video;Image Based Lighting,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
259202,2006,,,"['276', '1751', '276', '296', '276', '296', '2347', '276', '1751']"
22281,2006,,Computer Graphics;Scientific Visualization;Medical Imaging;Volume Rendering;Raycasting;Transfer Functions;Level-of-detail;Fuzzy Classification;Virtual Autopsies,"['276', '296', '2347', '276', '1751']"
256557,2006,,plasma physics,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256543,2006,10.1111/j.1365-2966.2005.09991.x,plasma physics,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
23455,2006,10.2312/VG/VG06/075-078,volume haptics;MRI;classification,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256322,2006,,,"['276', '296', '2347', '276', '1751']"
260876,2006,,Science Education Research;Haptics;Protein-ligand docking;Visualization;Virtual Reality,"['276', '296', '6850', '276', '872902', '276', '1800', '276', '280', '3970', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '1751', '276', '282', '2219']"
256254,2006,,,"['276', '296', '2347', '276', '1751']"
820188,2006,10.1109/TVCG.2006.146,Autopsies;Forensics;Large scale data;Medical visualization;Volume rendering,"['276', '296', '6850', '276', '872902', '276', '323', '13360', '276', '872900', '276', '3801', '4200', '7263', '7270', '276', '296', '6850', '276', '872902', '276', '3801', '276', '296', '6850', '276', '872902', '276', '3801']"
22280,2006,10.1109/TVCG.2006.146,Forensics;autopsies;medical visualization;volume rendering;large scale data,"['276', '296', '2347', '276', '1751', '276', '323', '2290', '276', '1800', '276', '3801', '276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '3801']"
256321,2006,,,"['276', '296', '2347', '276', '1751']"
256320,2006,,,"['276', '296', '2347', '276', '1751']"
16964,2006,10.1007/11941354_104,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256348,2006,,,"['276', '1751', '276', '296', '276', '1751', '276', '296', '276', '296', '2347', '276', '1751']"
256647,2006,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
22279,2006,10.1109/TVCG.2006.100,Volume visualization;transfer function;medical imaging;classification;partial range histogram,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
257015,2006,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
256253,2006,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
256255,2006,,,"['276', '296', '2347', '276', '1751', '276', '1751', '276', '296']"
22278,2006,10.2312/VG/VG06/001-008,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
22275,2006,10.2312/VisSym/EuroVis06/259-266,Viewing algorithms; Image Processing; Computer Vision,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256551,2006,10.1088/0741-3335/48/12B/S24,plasma physics,"['276', '296', '2347', '276', '1751', '276', '282', '2229', '276', '1751']"
256558,2006,,plasma physics,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256560,2006,,plasma physics,"['276', '296', '2347', '276', '1751']"
256541,2006,10.1088/1367-2630/8/3/040,plasma physics,"['276', '296', '2347', '276', '1751']"
297220,2006,10.1016/j.ijproman.2008.05.009,Complex development projects;Coordination;Images,"['276', '296', '2347', '276', '1751']"
256559,2006,,plasma physics,"['276', '296', '2347', '276', '1751']"
256324,2006,,,"['276', '296', '2347', '276', '1751']"
256329,2006,,,"['276', '296', '2347', '276', '1751']"
258492,2006,,,"['276', '296', '2347', '276', '1751']"
18056,2006,10.1057/palgrave.ivs.9500117,Parallel coordinates;3D multi-relational parallel coordinates;clustering;transfer function;density map;feature animation,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
256545,2006,10.1051/0004-6361:20054074,plasma physics,"['276', '296', '2347', '276', '1751']"
23978,2006,10.1080/02841850500445298,Abdominal aortic aneurysm (AAA); angiography; magnetic resonance angiography (MRA); maximum intensity projection (MIP); volume rendering technique (VRT); user dependence,"['276', '3801', '276', '323', '2290', '276', '1800', '4200', '4213', '4214', '276', '296', '2347', '276', '1751', '276', '3801', '276', '3801', '276', '323', '2290', '276', '1800', '4200', '4213', '4214', '276', '3801', '276', '323', '2290', '276', '1800', '4200', '4213', '4214', '276', '286', '2300', '276', '1800']"
21394,2006,,image quality;image processing;medical imaging;perception,"['276', '296', '2347', '276', '1751']"
22276,2006,10.2312/VisSym/EuroVis06/227-234,Picture/Image Generation; Methodology and Techniques; Three-Dimensional Graphics and Realism,"['276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '323', '2290', '276', '1800', '276', '3801', '276', '286', '2302', '276', '1751', '276', '3801']"
256564,2006,,computational physics,"['276', '296', '2347', '276', '1751']"
256330,2006,,,"['276', '296', '2347', '276', '1751']"
256552,2006,10.1088/0741-3335/48/12B/S25,plasma physics,"['276', '296', '2347', '276', '1751']"
256550,2006,10.1088/0741-3335/48/12B/S29,plasma physics,"['276', '296', '2347', '276', '1751']"
260914,2006,,Haptics;Science Education Research;Life Science Education;Visualization;Protein Interactions,"['276', '1751', '276', '296', '276', '296', '2347', '276', '1800', '276', '280', '3970', '276', '296', '2347', '276', '1751']"
260915,2006,,Haptics;Science Education Research;Life Science Education;Visualization;Protein Interactions,"['276', '1751', '276', '296', '276', '296', '2347', '276', '1810', '276', '308']"
256267,2006,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
260322,2007,,X-ray vision;depth perception;MRI;neurosurgical planning,"['276', '296', '2347', '276', '3801', '276', '1751', '276', '296', '2347', '276', '1751', '276', '3801', '276', '1800', '276', '285', '4049', '4200', '4213', '4295', '276', '3801']"
259306,2007,,interaction;3D environments;evaluation,"['276', '1751', '276', '296', '276', '1751', '276', '296', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
261686,2007,10.1007/978-3-540-71200-8_11,,"['276', '1751', '276', '281', '2174', '276', '1751', '276', '281', '2162', '276', '296', '2347', '276', '1751']"
259200,2007,10.1109/RIVF.2007.369138,Target acquisition;Fitts' law;Three-dimensional cursor;Three-dimensional pointing,"['276', '296', '2347', '276', '1751']"
262056,2007,,,"['276', '296', '2347', '276', '1751']"
261791,2007,10.1109/IV.2007.24,,"['276', '296', '2347', '276', '1751']"
502935,2007,,High dynamic range imaging;image based lighting,"['276', '296', '6850', '276', '1751', '276', '296', '6850']"
259729,2007,,plasma physics,"['276', '296', '2347', '276', '1751']"
261117,2007,10.1109/ICAT.2007.48,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
16967,2007,,Mobile Phone;Augmented Reality;HCI;Ubiquitous Computing;3D Interaction;Computer Vision,"['276', '296', '2347', '276', '1751']"
260837,2007,10.2312/VisSym/EuroVis07/035-042,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
18058,2007,10.2312/VisSym/EuroVis07/035-042,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
260783,2007,10.1109/VR.2007.352478,Haptic Interaction;Haptics;Virtual Reality;Computer-assisted instruction;Life Science Education;Protein Interactions;Visualization;Protein-ligand docking,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '280', '3970', '276', '1800', '276', '296', '2347', '276', '1751', '276', '282', '2219', '276', '1751']"
23459,2007,,Haptic Visualization;Volumetric Data;Haptic Primitives;Shape Representations;Time-varying Data,"['276', '296', '2347', '276', '1751']"
260861,2007,10.2312/VG/VG07/001-008,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
23985,2007,,Scientific Visualization;Medical Imaging;Computer Graphics;Volume Rendering;Transfer Function;Level-of-detail;Fuzzy Classification;Uncertainty Visualization;Virtual Autopsies,"['276', '296', '2347', '276', '1751']"
256346,2007,10.1007/s10055-006-0033-7,Volume haptics;Haptic modes;Toolkit;User study,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '1800', '276', '285', '4049', '4200', '4213', '4295', '276', '3801', '276', '296', '2347', '276', '1751', '276', '3801']"
260960,2007,10.1109/IV.2007.48,,"['276', '296', '2347', '276', '1751', '276', '297', '301', '276', '1750', '276', '296', '2347', '276', '1751']"
260919,2007,,Haptics;Science Education Research;Life Science Education;Visualization;Protein Interactions,"['276', '1800', '276', '280', '3970', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '1751', '276', '282', '2219']"
16961,2007,10.1145/1321261.1321295,3D interaction;augmented reality;mobile graphics,"['276', '296', '2347', '276', '1751']"
260992,2007,,,"['276', '296', '2347', '276', '1751', '276', '1750', '276', '297', '301', '276', '296', '2347', '276', '1751']"
260832,2007,,,"['276', '296', '2347', '276', '1751']"
23457,2007,10.1109/WHC.2007.51,,"['276', '296', '2347', '276', '1751']"
262957,2007,10.1109/MSP.2007.90588,medical image processing;rendering (computer graphics);virtual reality,"['276', '296', '2347', '276', '1751', '276', '3801', '276', '285', '4049', '276', '1800', '4200', '4213', '4295', '276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '3801']"
261080,2007,10.1145/1341012.1341055,nformation visualization;geo-visualization;visual inquiries;parallel coordinates;interaction;visual user interface,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
260918,2007,10.1117/12.703050,High dynamic range imaging;HDR multiple exposures;video;rolling shutter,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
297018,2007,10.1016/j.ijproman.2008.05.009,Complex development projects;Coordination;Images,"['276', '296', '2347', '276', '1751']"
261785,2007,10.1109/IV.2007.70,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
316503,2007,,System identification;Time-varying systems;Visualization techniques,"['276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751', '276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751']"
316883,2007,,Identification,"['276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751', '276', '296', '2347', '276', '1751', '276', '295', '2324', '276', '1751']"
16966,2007,10.1109/ICAT.2007.13,spatially aware;portable;mobile;handheld;cell;phone;augmented reality;mixed reality;ubiquitous,"['276', '296', '2347', '276', '1751']"
259728,2007,,plasma physics,"['276', '296', '2347', '276', '1751']"
259727,2007,,plasma physics,"['276', '296', '2347', '276', '1751']"
259730,2007,,plasma physics,"['276', '296', '2347', '276', '1751']"
260833,2007,,,"['276', '296', '2347', '276', '1751']"
268417,2007,10.1016/j.jal.2006.03.010,Abduction;Diagnosis;Logic programs;Preferences;Theory revision,"['276', '296', '2347', '276', '1751']"
262075,2007,,,"['276', '296', '2347', '276', '1751']"
260871,2007,,,"['276', '296', '2347', '276', '1751']"
260841,2007,,artificial intelligence;virtual characters,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
260883,2007,,Science Education Research;Haptics;Visualization;Virtual Reality;Protein-ligand docking,"['276', '1751', '276', '296', '276', '296', '2347', '276', '1800', '276', '280', '3970', '276', '296', '2347', '276', '1751']"
133599,2007,10.1007/s00371-007-0127-6,High dynamic range imaging;Image based lighting,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
18053,2007,10.1117/12.697548,Evaluation;parallel coordinates;multi-relational 3D parallel coordinates;multivariate data,"['276', '296', '2347', '276', '1751']"
261786,2007,10.1109/CMV.2007.21,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
260827,2007,,,"['276', '296', '2347', '276', '1751']"
23984,2007,10.1109/TVCG.2007.70518,uncertainty;medical visualization;probability;transfer function;volume rendering,"['276', '296', '2347', '276', '1751', '276', '3801', '276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751', '276', '3801', '276', '323', '2290', '276', '1800', '4200', '4213', '4214', '276', '3801']"
260916,2007,,Haptics;Science Education Research;Life Science;Protein interactions;Docking;Visualization,"['276', '296', '2347', '276', '1751', '276', '296', '6850', '276', '872902', '276', '296', '2347', '276', '1751', '276', '1751', '276', '282', '2219', '276', '1800', '276', '280', '3970']"
16963,2007,10.1145/1278960.1278962,3D interfaces;content creation;mobile computer graphics;mobile phone augmented reality,"['276', '296', '2347', '276', '1751']"
260338,2007,,,"['276', '1751', '276', '296', '276', '296', '2347', '276', '296', '2347', '276', '1751', '276', '1800', '276', '280', '3970']"
268853,2007,,wireless communication;voice recognition;sensors and network programming,"['276', '296', '6850', '276', '1751']"
258681,2007,10.1063/1.2737407,Plasma wave accelerator;beam instabilities;numerical simulation;cosmic rays,"['276', '296', '2347', '276', '1751']"
375855,2008,,Color print reproduction;Optical dot gain,"['276', '296', '6850', '276', '1751']"
264601,2008,,,"['276', '296', '2347', '276', '1751']"
267262,2008,10.1111/j.1467-8659.2008.01240.x,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
263274,2008,10.1115/DETC2008-50034,Virtual Reality;Haptics;Musical Instrument;Therapy,"['276', '296', '2347', '276', '1751']"
820169,2008,,,"['276', '296', '6850', '276', '872902', '276', '296', '6850', '276', '872902']"
265345,2008,,,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
264357,2008,10.1002/bmb.20230,Assessment tasks;measuring and developing conceptual understanding;cognitive skills;meaningful learning,"['276', '296', '2347', '276', '1751']"
265348,2008,10.1007/978-3-540-88011-0_5,Visual analytics;collaboration;explorative data analysis;HTML,"['276', '296', '2347', '276', '1751']"
264123,2008,10.1145/1450579.1450655,label placement;mixed reality;stereoscopic displays;user interfaces;visual clutter,"['276', '296', '2347', '276', '1751', '276', '296', '2347', '276', '1751']"
279736,2008,,Molecular life science;Visualization;Science education,"['276', '308', '276', '1750', '276', '296', '6850', '276', '1810']"
532436,2008,,,"['276', '296', '6850', '276', '1751']"
18059,2008,,Information visualization;parallel coordinates;interactive analysis;multivariate data;time-varying data;GPU;hardware graphics,"['276', '296', '2347', '276', '1751']"
263887,2008,10.1063/1.2985776,plasma physics,"['276', '296', '2347', '276', '1751']"
