PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor,Institute,Numbers,ContainsTargetNumbers
1441157,"Nemeth, Christopher (Univ Lancaster, England);Lindsten, Fredrik [freli29] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Filippone, Maurizio (EURECOM, France);Hensman, James (PROWLER Io, England)",Pseudo-Extended Markov Chain Monte Carlo,Konferensbidrag,Refereegranskat,eng,,,,,32,,ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 32 (NIPS 2019),,,2019,,,,NEURAL INFORMATION PROCESSING SYSTEMS (NIPS),Advances in Neural Information Processing Systems,1049-5258,,,https://papers.nips.cc/paper/8683-pseudo-extended-markov-chain-monte-carlo,,,5.34E+11,,,urn:nbn:se:liu:diva-166519,,,,Sannolikhetsteori och statistik (10106),,,"<p>Funding Agencies|UK Engineering and Physical Sciences Research CouncilEngineering &amp; Physical Sciences Research Council (EPSRC) [EP/S00159X/1, EP/R01860X/1]; Swedish Research CouncilSwedish Research Council [2016-04278]; Swedish Foundation for Strategic ResearchSwedish Foundation for Strategic Research [ICA16-0015]; Wallenberg AI, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation; AXA Research Fund; Agence Nationale de la RechercheFrench National Research Agency (ANR) [ANR-18-CE46-0002]</p>","<p>Sampling from posterior distributions using Markov chain Monte Carlo (MCMC) methods can require an exhaustive number of iterations, particularly when the posterior is multi-modal as the MCMC sampler can become trapped in a local mode for a large number of iterations. In this paper, we introduce the pseudo-extended MCMC method as a simple approach for improving the mixing of the MCMC sampler for multi-modal posterior distributions. The pseudo-extended method augments the state-space of the posterior using pseudo-samples as auxiliary variables. On the extended space, the modes of the posterior are connected, which allows the MCMC sampler to easily move between well-separated posterior modes. We demonstrate that the pseudo-extended approach delivers improved MCMC sampling over the Hamiltonian Monte Carlo algorithm on multi-modal posteriors, including Boltzmann machines and models with sparsity-inducing priors.</p>",,,,,,,,,,,,,6/15/2020,6/15/2020,6/15/2020,,,4.0,,deprecated,,publishedPaper,33rd Conference on Neural Information Processing Systems (NeurIPS),,,False,,,,"Univ Lancaster, England, Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], EURECOM, France, PROWLER Io, England","['276', '281', '878151', '276', '872902']",True
1340796,"Sysoev, Oleg [olesy12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Machine Learning);Bartoszek, Krzysztof [krzba67] [0000-0002-5816-4345] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Ekström, Eva-Charlotte (Uppsala University, Akademiska Sjukhuset, Uppsala, Sweden);Ekström Selling, Katarina (Uppsala University, Akademiska Sjukhuset, Uppsala, Sweden)",PSICA : Decision trees for probabilistic subgroup identification with categorical treatments,Artikel i tidskrift,Refereegranskat,eng,Statistics in Medicine,0277-6715,1097-0258,published,38,22,,4436,4452,2019,,,,John Wiley & Sons,,,,,,,10.1002/sim.8308,4.85E+11,31246349.0,2-s2.0-85068189287,urn:nbn:se:liu:diva-159305,,,bootstrap;decision trees;personalized medicine;random forest;subgroup discovery,Datavetenskap (datalogi) (10201);Sannolikhetsteori och statistik (10106),,,,"<p data-select-like-a-boss=""1"">Personalized medicine aims at identifying best treatments for a patient with given characteristics. It has been shown in the literature that these methods can lead to great improvements in medicine compared to traditional methods prescribing the same treatment to all patients. Subgroup identification is a branch of personalized medicine, which aims at finding subgroups of the patients with similar characteristics for which some of the investigated treatments have a better effect than the other treatments. A number of approaches based on decision trees have been proposed to identify such subgroups, but most of them focus on two?arm trials (control/treatment) while a few methods consider quantitative treatments (defined by the dose). However, no subgroup identification method exists that can predict the best treatments in a scenario with a categorical set of treatments. We propose a novel method for subgroup identification in categorical treatment scenarios. This method outputs a decision tree showing the probabilities of a given treatment being the best for a given group of patients as well as labels showing the possible best treatments. The method is implemented in an R package psica available on CRAN. In addition to a simulation study, we present an analysis of a community?based nutrition intervention trial that justifies the validity of our method.</p>",,,,,,,,,,,,,8/6/2019,8/6/2019,1/29/2020,https://liu.diva-portal.org/smash/get/diva2:1340796/FULLTEXT01.pdf,,4.0,,deprecated,,,,,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Machine Learning, Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Uppsala University, Akademiska Sjukhuset, Uppsala, Sweden, Uppsala University, Akademiska Sjukhuset, Uppsala, Sweden","['276', '281', '878151', '276', '1750', '276', '281', '878151', '276', '1750']",True
1359959,"Abramian, David [davab27] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",REFACING: RECONSTRUCTING ANONYMIZED FACIAL FEATURES USING GANS,Konferensbidrag,Refereegranskat,eng,,,,,,,2019 IEEE 16TH INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING (ISBI 2019),1104,1108,2019,,,,IEEE,IEEE International Symposium on Biomedical Imaging,1945-7928,1945-8452,978-1-5386-3641-1,,,10.1109/ISBI.2019.8759515,4.85E+11,,,urn:nbn:se:liu:diva-160633,,,MRI; anonymization; GANs; image-to-image translation,Datorseende och robotik (autonoma system) (10207),,,<p>Funding Agencies|Swedish research councilSwedish Research Council [201704889]; Center for Industrial Information Technology (CENIIT) at Linkoping University; Knut and Alice Wallenberg foundationKnut &amp; Alice Wallenberg Foundation</p>,"<p>Anonymization of medical images is necessary for protecting the identity of the test subjects, and is therefore an essential step in data sharing. However, recent developments in deep learning may raise the bar on the amount of distortion that needs to be applied to guarantee anonymity. To test such possibilities, we have applied the novel CycleGAN unsupervised image-to-image translation framework on sagittal slices of T1 MR images, in order to reconstruct, facial features from anonymized data. We applied the CycleGAN framework on both face-blurred and face-removed images. Our results show that face blurring may not provide adequate protection against malicious attempts at identifying the subjects, while face removal provides more robust anonymization, but is still partially reversible.</p>",,,,,,,,,,,,,10/10/2019,10/10/2019,3/31/2023,https://liu.diva-portal.org/smash/get/diva2:1359959/FULLTEXT01.pdf,,2.0,,deprecated,urn:nbn:se:liu:diva-192793,publishedPaper,16th IEEE International Symposium on Biomedical Imaging (ISBI),,,False,,,,"Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '286', '877301', '276', '872902', '276', '286', '877301', '276', '281', '878151', '276', '872902', '276', '3801']",True
1341376,"Svefors, Pernilla (Uppsala Universitet, Uppsala, Sweden; Center for Epidemiology and Community Medicine, Stockholm, Sweden);Sysoev, Oleg [olesy12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Machine Learning);Ekstrom, Eva-Charlotte (Uppsala Universitet, Uppsala, Sweden);Persson, Lars Ake (London School of Hygiene and Tropical Medicine, London, UK);Arifeen, Shams E (International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh);Naved, Ruchira T (International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh);Rahman, Anisur (International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh);Khan, Ashraful Islam (International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh);Selling, Katarina (Uppsala Universitet, Uppsala, Sweden)","Relative importance of prenatal and postnatal determinants of stunting : data mining approaches to the MINIMat cohort, Bangladesh",Artikel i tidskrift,Refereegranskat,eng,BMJ Open,,2044-6055,published,9,8,,,,2019,,,,BMJ Publishing Group Ltd,,,,,,,10.1136/bmjopen-2018-025154,5.03E+11,31383692.0,2-s2.0-85070315727,urn:nbn:se:liu:diva-159347,,,epidemiology;nutrition;paediatrics;public health,"Folkhälsovetenskap, global hälsa, socialmedicin och epidemiologi (30302);Datavetenskap (datalogi) (10201);Sannolikhetsteori och statistik (10106)",,,"<p>Funding agencies: icddr,b; United Nations Childrens Emergency Fund; Swedish International Development Cooperation Agency; UK Medical Research CouncilMedical Research Council UK (MRC); Swedish Research CouncilSwedish Research Council; Department for International Developmen</p>","<p data-select-like-a-boss=""1""><strong>Introduction</strong> WHO has set a goal to reduce the prevalence of stunted child growth by 40% by the year 2025. To reach this goal, it is imperative to establish the relative importance of risk factors for stunting to deliver appropriate interventions. Currently, most interventions take place in late infancy and early childhood. This study aimed to identify the most critical prenatal and postnatal determinants of linear growth 0–24 months and the risk factors for stunting at 2?years, and to identify subgroups with different growth trajectories and levels of stunting at 2?years.</p><p><strong>Methods</strong> Conditional inference tree-based methods were applied to the extensive Maternal and Infant Nutrition Interventions in Matlab trial database with 309 variables of 2723 children, their parents and living conditions, including socioeconomic, nutritional and other biological characteristics of the parents; maternal exposure to violence; household food security; breast and complementary feeding; and measurements of morbidity of the mothers during pregnancy and repeatedly of their children up to 24 months of age. Child anthropometry was measured monthly from birth to 12 months, thereafter quarterly to 24 months.</p><p><strong>Results</strong> Birth length and weight were the most critical factors for linear growth 0–24 months and stunting at 2?years, followed by maternal anthropometry and parental education. Conditions after birth, such as feeding practices and morbidity, were less strongly associated with linear growth trajectories and stunting at 2?years.</p><p><strong>Conclusion</strong> The results of this study emphasise the benefit of interventions before conception and during pregnancy to reach a substantial reduction in stunting.</p>",,,,,,,,,,,,,8/8/2019,8/8/2019,8/28/2023,https://liu.diva-portal.org/smash/get/diva2:1341376/FULLTEXT01.pdf,,9.0,,deprecated,,,,,,True,True,,,"Uppsala Universitet, Uppsala, Sweden; Center for Epidemiology and Community Medicine, Stockholm, Sweden, Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Machine Learning, Uppsala Universitet, Uppsala, Sweden, London School of Hygiene and Tropical Medicine, London, UK, International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh, International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh, International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh, International Centre for Diarrhoeal Disease Research, Dhaka, Bangladesh, Uppsala Universitet, Uppsala, Sweden","['276', '281', '878151', '276', '1750']",True
1269320,"Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Knutsson, Hans [hankn25] [0000-0002-9091-4724] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",Reply to Chen et al.: Parametric methods for cluster inference perform worse for two?sided <em>t</em>?tests,Artikel i tidskrift,"Övrig (populärvetenskap, debatt, mm)",eng,Human Brain Mapping,1065-9471,1097-0193,published,40,5,,1689,1691,2019,,,,,,,,,,,10.1002/hbm.24465,4.61E+11,,,urn:nbn:se:liu:diva-153286,,,cluster inference;false positives;fMRI;one?sided;permutation;two?sided,Medicinteknik (206),,,"<p>Funding agencies: NIH [R01 EB015611]; Wellcome Trust [100309/Z/12/Z]; Knut och Alice Wallenbergs Stiftelse; Linkoping University; Swedish Research Council [2017-04889, 2013-5229]; ""la Caixa"" Foundation; Vetenskapsradet</p>","<p>One?sided <em>t</em>?tests are commonly used in the neuroimaging field, but two?sided tests should be the default unless a researcher has a strong reason for using a one?sided test. Here we extend our previous work on cluster false positive rates, which used one?sided tests, to two?sided tests. Briefly, we found that parametric methods perform worse for two?sided <em>t</em>?tests, and that nonparametric methods perform equally well for one?sided and two?sided tests.</p>",,,,,,,,,,,,,12/10/2018,12/10/2018,4/1/2019,https://liu.diva-portal.org/smash/get/diva2:1269320/FULLTEXT01.pdf,,2.0,,deprecated,,,,,,False,,,"Nichols, Thomas E (Big Data Institute, University of Oxford, Oxford, United Kingdom, Department of Statistics, University of Warwick, Coventry, United KingdomWellcome Trust Centre for Integrative Neuroimaging (WIN-FMRIB), University of Oxford, Oxford, United Kingdom)","Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '286', '877301', '276', '281', '878151', '276', '872902', '276', '3801', '276', '286', '877301', '276', '872902', '276', '3801']",True
1340995,"Bartoszek, Krzysztof [krzba67] [0000-0002-5816-4345] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750])",Simulating an infinite mean waiting time,Artikel i tidskrift,Refereegranskat,eng,Mathematica Applicanda,1730-2668,2299-4009,published,47,1,,93,102,2019,,,"Warsaw, Poland",Polskie Towarzystwo Matematyczne,,,,,,,10.14708/ma.v47i1.6476,,,,urn:nbn:se:liu:diva-159321,,,birth-death process; infinite mean; phylogenetic tree; power-law distribution; return time,Sannolikhetsteori och statistik (10106),,,,"<p>We consider a hybrid method to simulate the return time to the initial state in a critical-case birth-death process. The expected value of this return time is infinite, but its distribution asymptotically follows a power-law. Hence, the simulation approach is to directly simulate the process, unless the simulated time exceeds some threshold and if it does, draw the return time from the tail of the power law.</p>",,,,,,,,,,,,,8/7/2019,8/7/2019,1/29/2020,https://liu.diva-portal.org/smash/get/diva2:1340995/FULLTEXT01.pdf,Vetenskapsrådet [2017-04951],1.0,,deprecated,,,XXV National Conference on Applications of Mathematics in Biology and Medicine,,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750]","['276', '281', '878151', '276', '1750']",True
1338106,"Quiroz, Matias (Univ New South Wales, Australia);Kohn, Robert (Univ New South Wales, Australia);Villani, Mattias [matvi05] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Tran, Minh-Ngoc (Univ Sydney, Australia)",Speeding Up MCMC by Efficient Data Subsampling,Artikel i tidskrift,Refereegranskat,eng,Journal of the American Statistical Association,0162-1459,1537-274X,published,114,526,,831,843,2019,,,,AMER STATISTICAL ASSOC,,,,,,,10.1080/01621459.2018.1448827,4.73E+11,,,urn:nbn:se:liu:diva-159005,,,Bayesian inference; Big Data; Block pseudo-marginal; Correlated pseudo-marginal; Estimated likelihood; Survey sampling,Sannolikhetsteori och statistik (10106),,,<p>Funding Agencies|Australian Research Council Center of Excellence grant [CE140100049]; VINNOVA grant [2010-02635]; Swedish Foundation for Strategic Research [RIT 15-0097]; Business School Pilot Research grant</p>,"<p>We propose subsampling Markov chain Monte Carlo (MCMC), an MCMC framework where the likelihood function for n observations is estimated from a random subset of m observations. We introduce a highly efficient unbiased estimator of the log-likelihood based on control variates, such that the computing cost is much smaller than that of the full log-likelihood in standard MCMC. The likelihood estimate is bias-corrected and used in two dependent pseudo-marginal algorithms to sample from a perturbed posterior, for which we derive the asymptotic error with respect to n and m, respectively. We propose a practical estimator of the error and show that the error is negligible even for a very small m in our applications. We demonstrate that subsampling MCMC is substantially more efficient than standard MCMC in terms of sampling efficiency for a given computational budget, and that it outperforms other subsampling methods for MCMC proposed in the literature. Supplementary materials for this article are available online.</p>",,,,,,,,,,,,,7/19/2019,7/19/2019,7/19/2019,,,4.0,,deprecated,,,,,,False,,,,"Univ New South Wales, Australia, Univ New South Wales, Australia, Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Univ Sydney, Australia","['276', '281', '878151', '276', '1750']",True
1318438,"Gu, Xuan [xuagu37] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Eklund, Anders [andek67] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Özarslan, Evren [evroz77] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]);Knutsson, Hans [hankn25] [0000-0002-9091-4724] (Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801])",Using the wild bootstrap to quantify uncertainty in mean apparent propagator MRI,Artikel i tidskrift,Refereegranskat,eng,Frontiers in Neuroinformatics,,1662-5196,published,13,,,,,2019,,,,Frontiers Media S.A.,,,,,,,10.3389/fninf.2019.00043,4.72E+11,31244637.0,,urn:nbn:se:liu:diva-157089,,,Bootstrap;diffusion MRI;MAP-MRI;uncertainty;RtoP;NG;PA,Medicinteknik (206),,,<p>Funding agencies:  Swedish Research Council [2015-05356]; Linkoping University Center for Industrial Information Technology (CENIIT); Knut and Alice Wallenberg Foundation project Seeing Organ Function; National Institute of Dental and Craniofacial Research (NIDCR); National</p>,"<p>Purpose: Estimation of uncertainty of MAP-MRI metricsis an important topic, for several reasons. Bootstrap deriveduncertainty, such as the standard deviation, providesvaluable information, and can be incorporated in MAP-MRIstudies to provide more extensive insight.</p><p>Methods: In this paper, the uncertainty of different MAPMRImetrics was quantified by estimating the empirical distributionsusing the wild bootstrap. We applied the wildbootstrap to both phantom data and human brain data, andobtain empirical distributions for theMAP-MRImetrics returnto-origin probability (RTOP), non-Gaussianity (NG) and propagatoranisotropy (PA).</p><p>Results: We demonstrated the impact of diffusion acquisitionscheme (number of shells and number of measurementsper shell) on the uncertainty of MAP-MRI metrics.We demonstrated how the uncertainty of these metrics canbe used to improve group analyses, and to compare differentpreprocessing pipelines. We demonstrated that withuncertainty considered, the results for a group analysis canbe different.</p><p>Conclusion: Bootstrap derived uncertain measures provideadditional information to the MAP-MRI derived metrics, andshould be incorporated in ongoing and future MAP-MRIstudies to provide more extensive insight.</p>",,,,,,,,,,,,,5/27/2019,5/27/2019,1/17/2024,https://liu.diva-portal.org/smash/get/diva2:1318438/FULLTEXT01.pdf,,4.0,,deprecated,urn:nbn:se:liu:diva-161288,,,,43,False,,,,"Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801], Linköpings universitet [276], Institutionen för medicinsk teknik [286], Avdelningen för medicinsk teknik [877301], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Centrum för medicinsk bildvetenskap och visualisering, CMIV [3801]","['276', '286', '877301', '276', '872902', '276', '3801', '276', '286', '877301', '276', '281', '878151', '276', '872902', '276', '3801', '276', '286', '877301', '276', '872902', '276', '3801', '276', '286', '877301', '276', '872902', '276', '3801']",True
1337660,"Bartoszek, Krzysztof [krzba67] [0000-0002-5816-4345] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Uppsala universitet, Teknisk-naturvetenskapliga vetenskapsområdet, Matematisk-datavetenskapliga sektionen, Matematiska institutionen, Analys och sannolikhetsteori);Domsta, Joachim (State Univ Appl Sci Elblag, Krzysztof Brzeski Inst Appl Informat, Ul Wojska Polskiego 1, PL-82300 Elblag, Poland);Pulka, Malgorzata (Gdansk Univ Technol, Dept Probabil & Biomath, Ul Narutowicza 11-12, PL-80233 Gdansk, Poland)",Weak Stability of Centred Quadratic Stochastic Operators,Artikel i tidskrift,Refereegranskat,eng,BULLETIN OF THE MALAYSIAN MATHEMATICAL SCIENCES SOCIETY,0126-6705,2180-4206,published,42,4,,1813,1830,2019,,,,MALAYSIAN MATHEMATICAL SCIENCES SOC,,,,,,,10.1007/s40840-017-0575-8,4.72E+11,,,urn:nbn:se:liu:diva-158840,,,Asymptotic stability; Dyadic stability; Infinite divisible distributions; Quadratic stochastic operators; Weak convergence,Sannolikhetsteori och statistik (10106),,,"<p>Funding Agencies|Knut and Alice Wallenberg Foundation; Svenska Institutets Ostersjosamarbete Scholarship [11142/2013, 19826/2014, 00507/2012]</p>","<p>We consider the weak convergence of iterates of so-called centred quadratic stochastic operators. These iterations allow us to study the discrete time evolution of probability distributions of vector-valued traits in populations of inbreeding or hermaphroditic species, whenever the offsprings trait is equal to an additively perturbed arithmetic mean of the parents traits. It is shown that for the existence of a weak limit, it is sufficient that the distributions of the trait and the perturbation have a finite variance or have tails controlled by a suitable power function. In particular, probability distributions from the domain of attraction of stable distributions have found an application, although in general the limit is not stable.</p>",,,,,,,,,,,,,7/16/2019,7/16/2019,11/9/2020,https://liu.diva-portal.org/smash/get/diva2:1337660/FULLTEXT01.pdf,,3.0,,deprecated,,,,,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Uppsala universitet, Teknisk-naturvetenskapliga vetenskapsområdet, Matematisk-datavetenskapliga sektionen, Matematiska institutionen, Analys och sannolikhetsteori, State Univ Appl Sci Elblag, Krzysztof Brzeski Inst Appl Informat, Ul Wojska Polskiego 1, PL-82300 Elblag, Poland, Gdansk Univ Technol, Dept Probabil & Biomath, Ul Narutowicza 11-12, PL-80233 Gdansk, Poland","['276', '281', '878151', '276', '1750']",True
1417320,"Mioduchowska, Monika (Univ Gdansk, Poland);Zajac, Katarzyna (Polish Acad Sci, Poland);Bartoszek, Krzysztof [krzba67] [0000-0002-5816-4345] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Madanecki, Piotr (Med Univ Gdansk, Poland);Kur, Jaroslaw (Empty Spaces Res, Poland);Zajac, Tadeusz (Polish Acad Sci, Poland)",16S rRNAgene-based metagenomic analysis of the gut microbial community associated with the DUI species Unio crassus (Bivalvia: Unionidae),Artikel i tidskrift,Refereegranskat,eng,Journal of Zoological Systematics and Evolutionary Research,0947-5745,1439-0469,published,58,2,,615,623,2020,,,,WILEY,,,,,,,10.1111/jzs.12377,5.17E+11,,,urn:nbn:se:liu:diva-164614,,,freshwater mussels; gut microbiome; next-generation sequencing; operational taxonomic units (OTUs) assignment; Unionidae,Ekologi (10611),,,<p>Funding Agencies|Polish National Science Centre [NCN DEC-2017/01/X/NZ8/01873]; Swedish Research Councils (Vetenskapsradet) [2017-04951]</p>,"<p>What factors determine biome richness: genetic or environmental? Sex, phylogeny, and tolerance indicated by other symbionts (e.g., endosymbionts) or simply is it related to local habitat, especially if the gut biome is considered? To answer these questions, we investigated the gut microbial profile of both sexes of three Unio crassus populations, species with unique system of mitochondrial DNA inheritance called doubly uniparental inheritance (DUI), living in different ecological conditions. High-throughput sequencing of the V3-V4 hypervariable regions in the bacterial 16S rRNA gene fragment was performed, which resulted in a total of 1,051,647 reads, with 58,424 reads/65 OTUs (operational taxonomic units) per sample on average. We identified a core microbiome, with all individual mussels sharing 69 OTUs (representing 23% of the total number of OTUs). Proteobacteria was the dominant phylum in all samples, followed by Firmicutes, Actinobacteria, and Bacteroidetes. There were no significant differences in gut microbiome compositions between the two sexes of this species; however, we observed different phyla in geographically isolated populations. A non-metric multidimensional scaling plot and dendrogram showed that the bacterial profile complies with the genetic structure of populations. Although we found differences in microbiomes between populations, their genetic structure suggests that the microbiome is weakly related to habitat, and more strongly to phylogeography (on both F and M mitotypes). We found no significant differences in beta diversity between the individuals of the bacterial communities measured using the Bray-Curtis index. Finally, we also examined whether OTUs were represented by symbiotic bacteria that enable cellulose digestion and by endosymbiotic bacteria that play important functions in the biology of their hosts and also affect microevolutionary processes and population phenomena. With regard to the endosymbionts, however, there was no relation to sex of the studied individuals, which suggests that there are no straightforward relations between DUI and microbiome.</p>",,,,,,,,,,,,,3/27/2020,3/27/2020,9/29/2022,https://liu.diva-portal.org/smash/get/diva2:1417320/FULLTEXT01.pdf,,6.0,,deprecated,,,,,,False,,,,"Univ Gdansk, Poland, Polish Acad Sci, Poland, Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151], Linköpings universitet [276], Filosofiska fakulteten [1750], Med Univ Gdansk, Poland, Empty Spaces Res, Poland, Polish Acad Sci, Poland","['276', '281', '878151', '276', '1750']",True
