,PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor,Institute,Numbers
4746,1574053,"Lagerkvist, Victor [vicla67] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902])",A New Characterization of Restriction-Closed Hyperclones,Konferensbidrag,Refereegranskat,eng,,,,,,,2020 IEEE 50TH INTERNATIONAL SYMPOSIUM ON MULTIPLE-VALUED LOGIC (ISMVL 2020),303,308,2020,,,,IEEE COMPUTER SOC,International Symposium on Multiple-Valued Logic,0195-623X,,9.78E+12,,,10.1109/ISMVL49045.2020.00063,6.56E+11,,,urn:nbn:se:liu:diva-177413,,,['hyperclones'],Datavetenskap (datalogi) (10201),,,,"<p>A hyperoperation is a mapping from a domain to the powerset of the domain. Hyperoperations can be composed together to form new hyperoperations, and the resulting sets are called hyperclones. In this paper we study the lattice of restriction-closed hyperclones over finite domains. Such hyperclones form a natural subclass of hyperclones but have received comparably little attention. We give a complete description of restriction-closed hyperclones, relative to the clone lattice, and also outline some important open questions to resolve when studying hyperclones over partially defined operations.</p>",,,,,,,,,,,,,6/28/2021,6/28/2021,6/28/2021,,,1.0,,deprecated,,publishedPaper,"IEEE 50th International Symposium on Multiple-Valued Logic (ISMVL), Miyazaki, JAPAN, nov 09-11, 2020",,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11108', '276', '872902']"
4748,1600328,"Nisar, Kashif (Univ Malaysia Sabah, Malaysia; Victoria Univ Wellington, New Zealand; Balochistan Univ Engn & Technol, Pakistan);Jimson, Emilia Rosa (Univ Malaysia Sabah, Malaysia);Hijazi, Mohd Hanafi Ahmad (Univ Malaysia Sabah, Malaysia);Welch, Ian (Victoria Univ Wellington, New Zealand);Hassan, Rosilah (Univ Kebangsaan Malaysia, Malaysia);Aman, Azana Hafizah Mohd (Univ Kebangsaan Malaysia, Malaysia);Sodhro, Ali Hassan [aliso78] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Pirbhulal, Sandeep (Norwegian Univ Sci & Technol, Norway);Khaf, Sohrab (Balochistan Univ Engn & Technol, Pakistan)","A survey on the architecture, application, and security of software defined networking: Challenges and open issues","Artikel, forskningsöversikt",Refereegranskat,eng,INTERNET OF THINGS,2543-1536,,published,12,,,,,2020,,,,ELSEVIER,,,,,,,10.1016/j.iot.2020.100289,6.96E+11,,,urn:nbn:se:liu:diva-179860,,,"['sdn security', 'control plane']",Kommunikationssystem (20203),,,"<p>Funding Agencies|Faculty of Computing and Informatics, University Malaysia Sabah; [GUG0072-SG-2/2016]</p>","<p>Software Defined Networking (SDN) is a new technology that makes computer networks farther programmable. SDN is currently attracting significant consideration from both academia and industry. SDN is simplifying organisations to implement applications and assist flexible delivery, offering the capability of scaling network resources in lockstep with application and data. This technology allows the user to manage the network easily by permitting the user to control the applications and operating system. SDN not only introduces new ways of interaction within network devices, but it also gives more flexibility for the existing and future networking designs and operations. SDN is an innovative approach to design, implement, and manage networks that separate the network control (control plane) and the forwarding process (data plane) for a better user experience. The main differentiation between SDN and Traditional Networking is that SDN removes the decision-making part from the routers and it provides, logically, a centralised Control-Plane that creates a network view for the control and management applications. Through the establishment of SDN, many new network capabilities and services have been enabled, such as Software Engineering, Traffic Engineering, Network Virtualisation and Automation, and Orchestration for Cloud Applications. This paper surveys the state-of-the-art contribution such as a comparison between SDN and traditional networking. Also, comparison with other survey works on SDN, new information about controller, details about OpenFlow architecture, configuration, comprehensive contribution about SDN security threat and countermeasures, SDN applications, benefit of SDN, and Emulation &amp; Tested for SDN. In addition, some existing and representative SDN tools from both industry and academia are explained. Moreover, future direction of SDN security solutions is discussed in detail. (C) 2020 Elsevier B.V. All rights reserved.</p>",,,,,,,,,,,,,10/4/2021,10/4/2021,10/4/2022,,,9.0,,deprecated,,,,,100289,False,,,,"Univ Malaysia Sabah, Malaysia; Victoria Univ Wellington, New Zealand; Balochistan Univ Engn & Technol, Pakistan, Univ Malaysia Sabah, Malaysia, Univ Malaysia Sabah, Malaysia, Victoria Univ Wellington, New Zealand, Univ Kebangsaan Malaysia, Malaysia, Univ Kebangsaan Malaysia, Malaysia, Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Norwegian Univ Sci & Technol, Norway, Balochistan Univ Engn & Technol, Pakistan","['276', '281', '11105', '276', '872902']"
4749,1424481,"Lin, Chih-Yuan [chili83] [0000-0003-2596-9355] (Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (RTSLAB - Real-Time Systems Laboratory)",A timing approach to network-based anomaly detection for SCADA systems,"Licentiatavhandling, sammanläggning",Övrigt vetenskapligt,eng,,,,,,,,,,2020,,32,Linköping,Linköping University Electronic Press,Linköping Studies in Science and Technology. Licentiate Thesis ; 1881,0280-7971,0280-7971,9.79E+12,,,10.3384/lic.diva-165155,,,,urn:nbn:se:liu:diva-165155,,,['scada securuty'],Datorsystem (20206),,,,"<p>Supervisory Control and Data Acquisition (SCADA) systems control and monitor critical infrastructure in society, such as electricity transmission and distribution systems. Modern SCADA systems are increasingly adopting open architectures, protocols, and standards and being connected to the Internet to enable remote control. A boost in sophisticated attacks against SCADA systems makes SCADA security a pressing issue. An Intrusion Detection System (IDS) is a security countermeasure that monitors a network and tracks unauthenticated activities inside the network. Most commercial IDSs used in general IT systems are signature-based, by which an IDS compares the system behaviors with known attack patterns. Unfortunately, recent attacks against SCADA systems exploit zero-day vulnerabilities in SCADA devices which are undetectable by signature-based IDSs.</p><p>This thesis aims to enhance SCADA system monitoring by anomaly detection that models normal behaviors and finds deviations from the model. With anomaly detection, zero-day attacks are possible to detect. We focus on modeling the timing attributes of SCADA traffic for two reasons: (1) the timing regularity fits the automation nature of SCADA systems, and (2) the timing information (i.e., arrival time) of a packet is captured and sent by a network driver where an IDS is located. Hence, it’s less prone to intentional manipulation by an attacker, compared to the payload of a packet.</p><p>This thesis first categorises SCADA traffic into two groups, request-response and spontaneous traffic, and studies data collected in three different protocol formats (Modbus, Siemens S7, and IEC-60870-5-104). The request-response traffic is generated by a polling mechanism. For this type of traffic, we model the inter-arrival times for each command and response pair with a statistical approach. Results presented in this thesis show that request-response traffic exists in several SCADA traffic sets collected from systems with different sizes and settings. The proposed statistical approach for request-response traffic can detect attacks having subtle changes in timing, such as a single packet insertion and TCP prediction for two of the three SCADA protocols studied.</p><p>The spontaneous traffic is generated by remote terminal units when they see significant changes in measurement values. For this type of traffic, we first use a pattern mining approach to find the timing characteristics of the data. Then, we model the suggested attributes with machine learning approaches and run it on traffic collected in a real power facility. We test our anomaly detection model with two types of attacks. One causes persistent anomalies and another only causes intermittent ones. Our anomaly detector exhibits a 100% detection rate with at most 0.5% false positive rate for the attacks with persistent anomalies. For the attacks with intermittent anomalies, we find our approach effective when (1) the anomalies last for a longer period (over 1 hour), or (2) the original traffic has relatively low volume.</p>","Mathur, Aditya P, Professor","Nadjm-Tehrani, Simin [simna73], Professor (Linköpings universitet [276], Institutionen för datavetenskap [281], ;;Programvara och system [11108]) (Linköpings universitet [276], ;Tekniska fakulteten [872902])Asplund, Mikael [mikas34], Senior Lecturer (Linköpings universitet [276], Institutionen för datavetenskap [281], ;;Programvara och system [11108]) (Linköpings universitet [276], ;Tekniska fakulteten [872902])",,,,,,,,"Alan Turing, E-Building, Campus Valla, Linköping",eng,2020-06-11T10:00,4/17/2020,5/14/2020,6/2/2020,https://liu.diva-portal.org/smash/get/diva2:1424481/FULLTEXT01.pdf,"Myndigheten för samhällsskydd och beredskap, MSB ",1.0,,deprecated,,,,,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Programvara och system [11108], Linköpings universitet [276], Tekniska fakulteten [872902], RTSLAB - Real-Time Systems Laboratory","['276', '281', '11108', '276', '872902']"
4750,1430166,"Källström, Johan [johka91] [0000-0002-4144-4893] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Adaptive Agent-Based Simulation for Individualized Training,Konferensbidrag,Refereegranskat,eng,,,,,,,Proceedings of the 19th International Conference on Autonomous Agents and Multiagent Systems (AAMAS),2193,2195,2020,,,,The International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS),International Conference on Autonomous Agents and Multiagent Systems ; 19,2523-5699,,978-1-4503-7518-4,http://www.ifaamas.org/Proceedings/aamas2020/forms/index.htm,,,,,,urn:nbn:se:liu:diva-165711,,,"['agents for improving human cooperative activities', 'modelling for agent based simulation', 'multi-agent learning', 'agents competing and collaborating with humans']",Datavetenskap (datalogi) (10201),,,,"<p>Agent-based simulation can be used for efficient and effective training of human operators and decision-makers. However, constructing realistic behavior models for the agents is challenging and time-consuming, especially for subject matter experts, who may not have expertise in artificial intelligence. In this work, we investigate how machine learning can be used to adapt simulation contents to the current needs of individual trainees. Our initial results demonstrate that multi-objective multi-agent reinforcement learning is a promising approach for creating agents with diverse and adaptive characteristics, which can stimulate humans in training.</p>",,,,,,,,,,,,,5/13/2020,5/13/2020,1/2/2024,https://liu.diva-portal.org/smash/get/diva2:1430166/FULLTEXT01.pdf,"Vinnova [2017-04885];Wallenberg AI, Autonomous Systems and Software Program (WASP)",1.0,,deprecated,,publishedPaper,"19th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2020), May9–13, 2020, Auckland, New Zealand.",,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11106', '276', '872902']"
4751,1428186,"Nygårdhs, Sara [sarny89] [0000-0001-5769-7193] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Statens väg- och transportforskningsinstitut)",Adaptive behaviour in traffic : An individual road user perspective,"Doktorsavhandling, sammanläggning",Övrigt vetenskapligt,eng,,,,,,,,,,2020,,68,Linköping,Linköping University Electronic Press,Linköping Studies in Arts and Sciences ; 787,0282-9800,0282-9800,9.79E+12,,,10.3384/diss.diva-164952,,,,urn:nbn:se:liu:diva-164952,,,"['comfort zone', 'road-user']",Människa-datorinteraktion (interaktionsdesign) (10204),,,,"<p>Road-user adaptation is a prerequisite for traffic to run smoothly. By adaptation, the road user aims to ensure a feeling of comfort according to his or her present state and capability. In this thesis, adaptive behaviour of car drivers and cyclists in response to different factors is explored, using the individual perspective of the road user. The research focuses on investigating how adaptation in the road traffic environment can be described, and what adaptations road users make in traffic in response to static and dynamic infrastructure, additional tasks and other road users.</p><p>One simulator study and three field studies in real traffic were carried out. The study results implied that the current road-user role and the preconditions for that role, in terms of vehicle and infrastructure, affect adaptive behaviour. The results also showed that in non-complex situations, there is a certain level of visual guidance above which more detailed information does not have any effect on speed adaptation. Detailed information that allows road users to improve their predictions to take action to ensure a feeling of comfort, is however preferred. Under increased situational demands, vehicle speed can be reduced to maintain the safety margins. It was found that there are individual strategies concerning what degree of complexity for interaction with an additional task is acceptable.</p><p>A conceptual model of adaptation in relation to the environment and subjective perceptions of safety and a feeling of comfort is proposed and applied to different traffic situations. For future transport system designs it is advised that adaptive behaviours of road users are supported.</p>;<p>Att trafikanterna anpassar sig är en förutsättning för ett välfungerande vägsystem. Genom anpassning försöker trafikanten säkerställa en känsla av komfort med hänsyn till hans eller hennes nuvarande tillstånd och förmåga. I denna avhandling undersöks bilförares och cyklisters anpassningsbeteende i samband med olika faktorer, utifrån ett individuellt trafikantperspektiv. Forskningen är inriktad på att undersöka hur anpassning i vägtrafikmiljön kan beskrivas, samt vilka anpassningar trafikanter gör i relation till statisk och dynamisk vägutrustning, extrauppgifter och andra trafikanter.</p><p>En simulatorstudie och tre fältstudier i verklig trafik har genomförts. Studieresultaten antydde att den roll som trafikanten har för tillfället, samt de förutsättningar som den rollen innebär i form av fordon och infrastruktur, påverkar anpassningsbeteendet. Resultaten visade också att om den visuella ledningen är över en viss nivå har inte mer detaljerad visuell information någon effekt på hastighetsanpassningen i icke-komplexa situationer. Trafikanterna föredrar dock mer detaljerad information om den gör det lättare att bedöma hur trafiksituationen kommer att utvecklas. Om komplexiteten ökar kan fordonshastigheten minskas för att bibehålla tillräckligt stora säkerhetsmarginaler. Hur man interagerar med extrauppgifter är individuellt och beror på vilken svårighetsnivå för interaktion som individen själv upplever är acceptabel.</p><p>En konceptuell modell för anpassning föreslås som tar hänsyn till trafikmiljön och trafikantens upplevelse av säkerhet och känsla av komfort. Framtida trafiksystem bör utformas för att stödja trafikanternas anpassningsbeteenden.</p>","de Waard, Dick, Professor","Johansson, Björn [bjojo19], Adjunct professor (Linköpings universitet [276], Institutionen för datavetenskap [281], ;;Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], ;Filosofiska fakulteten [1750])",,,,,,,,"Ada Lovelace, B-building, Campus Valla, Linköping",eng,2020-06-04T10:15,5/5/2020,5/7/2020,9/29/2020,https://liu.diva-portal.org/smash/get/diva2:1428186/FULLTEXT01.pdf,,1.0,,deprecated,,,,,,True,True,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Filosofiska fakulteten [1750], Statens väg- och transportforskningsinstitut","['276', '281', '11107', '276', '1750']"
4752,1504104,"Taxén, Lars [larta94] [0000-0002-9317-9120] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Advancing NeuroIS from a Dialectical Perspective,Konferensbidrag,Refereegranskat,eng,,,,,,,,90,99,2020,,,"Cham, Switzerland",,Lecture Notes in Information Systems and Organisation ; 43,2195-4968,,9.78E+12,,,10.1007/978-3-030-60073-0_11,,,2-s2.0-85096520388,urn:nbn:se:liu:diva-171613,,,"['it-artifact', 'theory of functional systems', 'neural correlates']","Systemvetenskap, informationssystem och informatik med samhällsvetenskaplig inriktning (50804)",,,,"<p>In spite of decades of research, the essence of central IS phenomena such as information, the IT artifact, and the Information System, remain unsettled. This aggravates the identification and definition of their neural correlates, which in turn may stymie the future potential of NeuroIS. To this end, the purpose of this paper is to define an intellectual core for the NeuroIS field, which is based on the dialectics between the individual and her social environment. Such a core enables a reconceptualization of information, the IT artifact, and the Information System as distinct ontological phenomena, however dialectically related. Accordingly, their neural correlates can be more distinctly defined, which opens up for alternative research questions. An example of a NeuroIS study addressing such questions is provided. Thus, the paper contributes to the formulation of a foundation for the future advancement of NeuroIS.</p>",,,,,,,,,,,,,11/26/2020,11/26/2020,9/30/2021,,,1.0,,deprecated,,publishedPaper,NeuroIS Retreat 2020,,,True,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11107', '276', '872902']"
4753,1511271,"Källström, Johan [johka91] [0000-0002-4144-4893] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Heintz, Fredrik [frehe08] [0000-0002-9595-2471] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902])",Agent Coordination in Air Combat Simulation using Multi-Agent Deep Reinforcement Learning,Konferensbidrag,Refereegranskat,eng,,,,,,,"2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",2157,2164,2020,,,,IEEE conference proceedings,,,,9781728185279;9781728185262,https://ieeexplore.ieee.org/xpl/conhome/9282733/proceeding,,10.1109/SMC42975.2020.9283492,6.87E+11,,,urn:nbn:se:liu:diva-172023,,,['agent-based modeling'],Datavetenskap (datalogi) (10201),,,"<p>Funding: Swedish Governmental Agency for Innovation SystemsVinnova [NFFP7/2017-04885]; Wallenberg Artificial Intelligence, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation</p>","<p>Simulation-based training has the potential to significantly improve training value in the air combat domain. However, synthetic opponents must be controlled by high-quality behavior models, in order to exhibit human-like behavior. Building such models by hand is recognized as a very challenging task. In this work, we study how multi-agent deep reinforcement learning can be used to construct behavior models for synthetic pilots in air combat simulation. We empirically evaluate a number of approaches in two air combat scenarios, and demonstrate that curriculum learning is a promising approach for handling the high-dimensional state space of the air combat domain, and that multi-objective learning can produce synthetic agents with diverse characteristics, which can stimulate human pilots in training.</p>",,,,,,,,,,,,,12/18/2020,12/18/2020,9/8/2023,https://liu.diva-portal.org/smash/get/diva2:1511271/FULLTEXT01.pdf,"Vinnova [2017-04885];Wallenberg AI, Autonomous Systems and Software Program (WASP)",2.0,,deprecated,,publishedPaper,"IEEE International Conference on Systems, Man, and Cybernetics (SMC), ELECTR NETWORK, oct 11-14, 2020",,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11106', '276', '872902', '276', '281', '11106', '276', '872902']"
4755,1413456,"Sodhro, Ali Hassan [aliso78] [0000-0001-5502-530x] (Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105]) (Linköpings universitet [276], Tekniska fakulteten [872902]) (Sukkur IBA Univ, Pakistan);Malokani, Abdul Sattar (Kyunghee Univ South Korea, South Korea);Sodhro, Gul Hassan (Shah Abdul Latif Univ, Pakistan);Muzammal, Muhammad (Bahria Univ, Pakistan);Zongwei, Luo (Southern Univ Sci and Technol, Peoples R China)",An adaptive QoS computation for medical data processing in intelligent healthcare applications,Artikel i tidskrift,Refereegranskat,eng,Neural Computing & Applications,0941-0643,1433-3058,published,32,3,,723,734,2020,,,,SPRINGER LONDON LTD,,,,,,,10.1007/s00521-018-3931-1,5.12E+11,,,urn:nbn:se:liu:diva-164206,,,"['medical data processing', 'qos-qoe correlation', 'intelligent healthcare applications', 'qos computation']",Energiteknik (20304),,,,"<p>Efficient computation of quality of service (QoS) during medical data processing through intelligent measurement methods is one of the mandatory requirements of the medial healthcare world. However, emergency medical services often involve transmission of critical data, thus having stringent requirements for network quality of service (QoS). This paper contributes in three distinct ways. First, it proposes the novel adaptive QoS computation algorithm (AQCA) for fair and efficient monitoring of the performance indicators, i.e., transmission power, duty cycle and route selection during medical data processing in healthcare applications. Second, framework of QoS computation in medical applications is proposed at physical, medium access control (MAC) and network layers. Third, QoS computation mechanism with proposed AQCA and quality of experience (QoE) is developed. Besides, proper examination of QoS computation for medical healthcare application is evaluated with 4-10 inches large-screen user terminal (UT) devices (for example, LCD panel size, resolution, etc.). These devices are based on high visualization, battery lifetime and power optimization for ECG service in emergency condition. These UT devices are used to achieve highest level of satisfaction in terms, i.e., less power drain, extended battery lifetime and optimal route selection. QoS parameters with estimation of QoE perception identify the degree of influence of each QoS parameters on the medical data processing is analyzed. The experimental results indicate that QoS is computed at physical, MAC and network layers with transmission power (- 15 dBm), delay (100 ms), jitter (40 ms), throughput (200 Bytes), duty cycle (10%) and route selection (optimal). Thus it can be said that proposed AQCA is the potential candidate for QoS computation than Baseline for medical healthcare applications.</p>",,,,,,,,,,,,,3/10/2020,3/10/2020,6/26/2023,,,5.0,,deprecated,,,,,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Databas och informationsteknik [11105], Linköpings universitet [276], Tekniska fakulteten [872902], Sukkur IBA Univ, Pakistan, Kyunghee Univ South Korea, South Korea, Shah Abdul Latif Univ, Pakistan, Bahria Univ, Pakistan, Southern Univ Sci and Technol, Peoples R China","['276', '281', '11105', '276', '872902']"
4756,1417542,"Lv, Zhihan (Qingdao Univ, Peoples R China);Ur Réhman, Shafiq [shaur20] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Khan, M. S. L. (Umea Univ, Sweden);Li, Haibo (KTH Royal Inst Technol, Sweden)",An anaglyph 2D-3D stereoscopic video visualization approach,Artikel i tidskrift,Refereegranskat,eng,Multimedia tools and applications,1380-7501,1573-7721,published,79,2-Jan,,825,838,2020,,,,SPRINGER,,,,,,,10.1007/s11042-019-08172-1,5.18E+11,,,urn:nbn:se:liu:diva-164689,,,"['3d video', 'anaglyph', '2d to 3d conversion', 'structure from motion']",Signalbehandling (20205),,,<p>Funding Agencies|Shandong Provincial Natural Science FoundationNatural Science Foundation of Shandong Province [ZR2017QF015]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China [61902203]</p>,"<p>In this paper, we propose a simple anaglyph 3D stereo generation algorithm from 2D video sequence with a monocular camera. In our novel approach, we employ camera pose estimation method to directly generate stereoscopic 3D from 2D video without building depth map explicitly. Our cost-effective method is suitable for arbitrary real-world video sequence and produces smooth results. We use image stitching based on plane correspondence using fundamental matrix. To this end, we also demonstrate that correspondence plane image stitching based on Homography matrix only cannot generate a better result. Furthermore, we utilize the structure-from-motion (with fundamental matrix) based reconstructed camera pose model to accomplish visual anaglyph 3D illusion. The anaglyph result is visualized by a contour based yellow-blue 3D color code. The proposed approach demonstrates a very good performance for most of the video sequences in the user study.</p>",,,,,,,,,,,,,3/29/2020,3/29/2020,3/29/2020,,,4.0,,deprecated,,,,,,False,,,,"Qingdao Univ, Peoples R China, Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Tekniska fakulteten [872902], Umea Univ, Sweden, KTH Royal Inst Technol, Sweden","['276', '281', '11107', '276', '872902']"
4757,1416035,"Präntare, Fredrik [frepr94] [0000-0002-0367-2430] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902]);Heintz, Fredrik [frehe08] (Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106]) (Linköpings universitet [276], Tekniska fakulteten [872902])",An anytime algorithm for optimal simultaneous coalition structure generation and assignment,Artikel i tidskrift,Refereegranskat,eng,Autonomous Agents and Multi-Agent Systems,1387-2532,1573-7454,published,34,1,,,,2020,,,,SPRINGER,,,,,,,10.1007/s10458-020-09450-1,5.18E+11,,,urn:nbn:se:liu:diva-164361,,,['assignment'],Datavetenskap (datalogi) (10201),,,"<p>Funding Agencies|Linkoping University; Wallenberg AI, Autonomous Systems and Software Program (WASP) - Knut and Alice Wallenberg Foundation</p>","<p>An important research problem in artificial intelligence is how to organize multiple agents, and coordinate them, so that they can work together to solve problems. Coordinating agents in a multi-agent system can significantly affect the systems performance-the agents can, in many instances, be organized so that they can solve tasks more efficiently, and consequently benefit collectively and individually. Central to this endeavor is coalition formation-the process by which heterogeneous agents organize and form disjoint groups (coalitions). Coalition formation often involves finding a coalition structure (an exhaustive set of disjoint coalitions) that maximizes the systems potential performance (e.g., social welfare) through coalition structure generation. However, coalition structure generation typically has no notion of goals. In cooperative settings, where coordination of multiple coalitions is important, this may generate suboptimal teams for achieving and accomplishing the tasks and goals at hand. With this in mind, we consider simultaneously generating coalitions of agents and assigning the coalitions to independent alternatives (e.g., tasks/goals), and present an anytime algorithm for the simultaneous coalition structure generation and assignment problem. This combinatorial optimization problem hasmany real-world applications, including forming goal-oriented teams. To evaluate the presented algorithms performance, we present five methods for synthetic problem set generation, and benchmark the algorithm against the industry-grade solver CPLEXusing randomized data sets of varying distribution and complexity. To test its anytime-performance, we compare the quality of its interim solutions against those generated by a greedy algorithm and pure random search. Finally, we also apply the algorithm to solve the problem of assigning agents to regions in a major commercial strategy game, and show that it can be used in game-playing to coordinate smaller sets of agents in real-time.</p>",,,,,,,,,,,,,3/20/2020,3/20/2020,4/19/2021,https://liu.diva-portal.org/smash/get/diva2:1416035/FULLTEXT01.pdf,,2.0,,deprecated,,,,,29,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902], Linköpings universitet [276], Institutionen för datavetenskap [281], Artificiell intelligens och integrerade datorsystem [11106], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11106', '276', '872902', '276', '281', '11106', '276', '872902']"
4759,1558610,"Thellman, Sam [samth78] [0000-0003-0098-5391] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Giagtzidou, Asenia [n/a] (Linköpings universitet [276], Institutionen för datavetenskap [281]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Silvervarg, Annika [annfl97] [0000-0001-6997-3917] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Ziemke, Tom [tomzi64] [0000-0001-6883-2450] (Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107]) (Linköpings universitet [276], Tekniska fakulteten [872902])","An Implicit, Non-Verbal Measure of Belief Attribution to Robots",Konferensbidrag,Refereegranskat,eng,,,,,,,HRI20: COMPANION OF THE 2020 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,473,475,2020,,,,ASSOC COMPUTING MACHINERY,ACM IEEE International Conference on Human-Robot Interaction,2167-2121,,9.78E+12,,,10.1145/3371382.3378346,6.44E+11,,,urn:nbn:se:liu:diva-175954,,,['mental state attribution'],Människa-datorinteraktion (interaktionsdesign) (10204),,,,"<p>Studies of mental state attribution to robots usually rely on verbal measures. However, verbal measures are sensitive to peoples rationalizations, and the outcomes of such measures are not always reflected in a persons behavior. In light of these limitations, we present the first steps toward developing an alternative, non-verbal measure of belief attribution to robots. We report preliminary findings from a comparative study indicating that the two types of measures (verbal vs. non-verbal) are not always consistent. Notably, the divergence between the two measures was larger when the task of inferring the robots belief was more difficult.</p>",,,,,,,,,,,,,5/31/2021,5/31/2021,9/7/2023,,,4.0,,deprecated,,publishedPaper,"15th Annual ACM/IEEE International Conference on Human-Robot Interaction (HRI), Cambridge, ENGLAND, mar 23-26, 2020",,,False,,,,"Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för datavetenskap [281], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Filosofiska fakulteten [1750], Linköpings universitet [276], Institutionen för datavetenskap [281], Interaktiva och kognitiva system [11107], Linköpings universitet [276], Tekniska fakulteten [872902]","['276', '281', '11107', '276', '1750', '276', '281', '276', '1750', '276', '281', '11107', '276', '1750', '276', '281', '11107', '276', '872902']"
