PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated,FullTextLink,Funder,NumberOfAuthors,ExternalCooperation,FridaLevel,PartOfThesis,PublicationSubtype,Conference,Term,ArticleId,Reviewed,FreeFulltext,SustainableDevelopment,Contributor
"201970","Wahlin, Karl [karwa00] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Shahsavani, Davood [davsh12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Wade, A. J. (Aquatic Environments Research Centre, School of Human and Environmental Sciences, The University of Reading, UK);Butterfield, D. (Aquatic Environments Research Centre, School of Human and Environmental Sciences, The University of Reading, UK);Jarvie, H. P. (Centre for Ecology and Hydrology, Wallingford, UK)","Reduced Models of the Retention of Nitrogen in Catchments","Konferensbidrag","Refereegranskat","eng","","","","","","","Proceedings of the International Environmental Modelling and Software Society Conference (iEMSs), 14-17 June, Osnabrück, Germany","1081","1086","2004","","","","","","","","","http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-17115;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-43109","","","","","","urn:nbn:se:liu:diva-17110","","","Model reduction; Ensemble runs; Catchment; Nitrogen; Retention","Data- och informationsvetenskap (102)","","","","<p>Process-oriented models of the retention of nitrogen in catchments are by necessity rather complex. We introduced several types of ensemble runs that can provide informative summaries of meteorologically normalised model outputs and also clarify the extent to which such outputs are related to various model parameters. Thereafter we employed this technique to examine policy-relevant outputs of the catchment model INCA-N. In particular, we examined how long it will take for changes in the application of fertilisers on cultivated land to affect the predicted riverine loads of nitrogen. The results showed that the magnitude of the total intervention effect was influenced mainly by the parameters governing the turnover of nitrogen in soil, whereas the temporal distribution of the water quality response was determined primarily by the hydromechanical model parameters. This raises the question of whether the soil nitrogen processes included in the model are elaborate enough to correctly explain the widespread observations of slow water quality responses to changes in agricultural practices.</p>","","","","","","","","","","","","","2009-03-06","2009-03-06","2018-01-13","","","6","","deprecated","urn:nbn:se:liu:diva-17115;urn:nbn:se:liu:diva-43109","publishedPaper","","","","true","","",""
"244648","Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Nordgaard, Anders [andno60] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","Sjöar och vattendrag i Skåne - går utvecklingen åt rätt håll?","Rapport","Övrigt vetenskapligt","swe","","","","","","","","","","2004","","","Malmö","Länsstyrelsen i Skåne län","Skåne i utveckling / Länsstyrelsen i Skåne län ; 1","","","","","","","","","","urn:nbn:se:liu:diva-24330","3958","","","Matematik (101)","","","","","","","","","","","","","","","","","2009-10-07","2009-10-07","","","","2","","deprecated","","","","","","false","","",""
"577854","Löfving, Erik [erilo84] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","A multi-step balancing procedure for quality assessment of substance flow data","Rapport","Övrigt vetenskapligt","eng","","","","","","","","","","2005","","","","","LiTH-MAT-R ; 1","0348-2960","0348-2960","","","","","","","","urn:nbn:se:liu:diva-86478","","","substance flows;mass balance;matrix operations;optimization","Naturvetenskap (1)","","","","<p>All estimates of substance flows are more or less uncertain, which implies that the collected data can violate mass balance constraints that should be valid. In this article, we introduce multi-stage balancing algorithms that can accommodate prior information about mass balance constraints and uncertainty of the collected data. In particular, we formulate the balancing task as an optimization problem for a given set of prior information. If it is suspected that some flows have been overlooked, the balancing is achieved by minimizing the total increase in flows that is required to satisfy the given mass balance constraints. If the major problem consists of errors or uncertainty in the raw data, the sum of squares of all adjustments needed is minimized. We present a software prototype in which the balancing is integrated with a variety of tools for quality assessment of collected data, and use data from a previously published study of nitrogen flows in Sweden to illustrate the steps involved in the proposed algorithms.</p>","","","","","","","","","","","","","2012-12-17","2012-12-17","2012-12-17","","","2","","deprecated","urn:nbn:se:liu:diva-30083","","","","","false","","",""
"242425","Isaksson, Annica [annis07] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","Adjustments for Missing Data in a Swedish Vehicle Speed Survey","Artikel i tidskrift","Refereegranskat","eng","Journal of Official Statistics","0282-423X","2001-7367","published","21","4","","605","615","2005","","","","","","","","","http://www.jos.nu/Articles/article.asp","","","","","","urn:nbn:se:liu:diva-22112","1213","","Weighting classes;imputation;response probability;error model","Matematik (101)","","","","<p>In a Swedish vehicle speed survey for a multi-stage sample of road sites, data are collected by use of a measurement device installed on the road. Typically, some of the vehicles passing a chosen site will remain unobserved. Therefore, we suggest dividing the traffic into weighting classes. The main difficulty is to adjust the observed number of vehicles for missing data. Within class, one proposal is to add vehicles imputed by the device; another to use registration probability weighting. Models for the errors in the number of imputed vehicles, and in the estimated registration probabilities, enable theoretical evaluations of the proposals. From some empirical data, the models are evaluated.</p>","","","","","","","","","","","","","2009-10-07","2009-10-07","2017-12-13","","","1","","deprecated","","","","","","false","","",""
"21032","Burdakov, Oleg [olebu87] [0000-0003-1836-4200] (Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328]) (Linköpings universitet [276], Tekniska högskolan [1751]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Hussian, Mohamed [mohhu72] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Sysoev, Oleg [olesy12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","Hasse diagrams and the generalized PAV-algorithm for monotonic regression in several explanatory variables","Artikel i tidskrift","Refereegranskat","eng","Computational Statistics and Data Analysis","0167-9473","","submitted","","","","","","2005","","","","","","","","","http://www.ida.liu.se/divisions/stat/research/engo/HussianHasse.pdf;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-5124","","","","","","urn:nbn:se:liu:diva-13600","","","","Matematik (101)","","","","<p>Monotonic regression is a nonparametric method for estimation ofmodels in which the expected value of a response variable y increases ordecreases in all coordinates of a vector of explanatory variables x = (x<sub>1</sub>, …, x<sub>p</sub>).Here, we examine statistical and computational aspects of our recentlyproposed generalization of the pool-adjacent-violators (PAV) algorithm fromone to several explanatory variables. In particular, we show how the goodnessof-fit and accuracy of obtained solutions can be enhanced by presortingobserved data with respect to their level in a Hasse diagram of the partial orderof the observed x-vectors, and we also demonstrate how these calculations canbe carried out to save computer memory and computational time. Monte Carlosimulations illustrate how rapidly the mean square difference between fittedand expected response values tends to zero, and how quickly the mean squareresidual approaches the true variance of the random error, as the number of observations increases up to 10<sup>4</sup>.</p>","","","","","","","","","","","","","2005-12-16","2005-12-16","2015-06-02","","","4","","deprecated","urn:nbn:se:liu:diva-5124","","","","","false","","",""
"244799","Libiseller, Claudia [clali39] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Tekniska högskolan [1751]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Tekniska högskolan [1751]);Waldén, Jari (Finnish Meteorological Institute, Helsinki, Finland);Saari, Helena (Finnish Meteorological Institute, Helsinki, Finland)","Meteorological normalisation and non-parametric smoothing for quality assessment and trend analysis of tropospheric ozone data","Artikel i tidskrift","Refereegranskat","eng","Environmental Monitoring & Assessment","0167-6369","1573-2959","published","100","1-3","","33","52","2005","","","","","","","","","","","10.1007/s10661-005-7059-2","","","","urn:nbn:se:liu:diva-24479","6595","","background ozone;level shifts;natural fluctuation;seasonal variation;temporal trend","Matematik (101)","","","","<p>Despite extensive efforts to ensure that sampling and installation and maintenance of instruments are as efficient as possible when monitoring air pollution data, there is still an indisputable need for statistical post processing (quality assessment). We examined data on tropospheric ozone and found that meteorological normalisation can reveal (i) errors that have not been eliminated by established procedures for quality assurance and control of collected data, as well as (ii) inaccuracies that may have a detrimental effect on the results of statistical tests for temporal trends. Moreover, we observed that the quality assessment of collected data could be further strengthened by combining meteorological normalisation with non-parametric smoothing techniques for seasonal adjustment and detection of sudden shifts in level. Closer examination of apparent trends in tropospheric ozone records from EMEP (European Monitoring and Evaluation Programme) sites in Finland showed that, even if potential raw data errors were taken into account, there was strong evidence of upward trends during winter and early spring.</p>","","","","","","","","","","","","","2009-10-07","2009-10-07","2017-12-13","","","4","","deprecated","urn:nbn:se:liu:diva-22755","","","","","false","","",""
"251745","Libiseller, Claudia [clali39] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","Meteorological normalisation of wet deposition data using wind sector information","Konferensbidrag","Övrigt vetenskapligt","eng","","","","","","","The 16th International Conference on Quantitative Methods for the Environmental Sciences,2005","","","2005","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-30922","16595","","","Matematik (101)","","","","","","","","","","","","","","","","","2009-10-09","2009-10-09","","","","2","","deprecated","","publishedPaper","","","","false","","",""
"21036","Hussian, Mohamed [mohhu72] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","Monotonic and Semiparametric Regression for the Detection of Trends in Environmental Quality Data","Doktorsavhandling, sammanläggning","Övrigt vetenskapligt","eng","","","","","","","","","","2005","","53","Linköping","Linköping University Electronic Press","Linköping Studies in Statistics ; 7;Linköping Studies in Arts and Sciences ; 343","1651-1700;0282-9800","1651-1700;0282-9800","91-85457-70-1","","","","","","","urn:nbn:se:liu:diva-5124","","","Normalisation;Monotonic;Semiparametric;Temporal trends;fluctuations;global;local;Matematisk statistik;Icke-parametriska metoder","Sannolikhetsteori och statistik (10106)","","","","<p>Natural fluctuations in the state of the environment can long conceal or distort important trends in the human impact on our ecosystems. Accordingly, there is increasing interest in statistical normalisation techniques that can clarify the anthropogenic effects by removing meteorologically driven fluctuations and other natural variation in time series of environmental quality data. This thesis shows that semi- and nonparametric regression methods can provide effective tools for applying such normalisation to collected data. In particular, it is demonstrated how monotonic regression can be utilised in this context. A new numerical algorithm for this type of regression can accommodate two or more discrete or continuous explanatory variables, which enables simultaneous estimation of a monotonic temporal trend and correction for one or more covariates that have a monotonic relationship with the response variable under consideration. To illustrate the method, a case study of mercury levels in fish is presented, using body length and weight as covariates. Semiparametric regression techniques enable trend analyses in which a nonparametric representation of temporal trends is combined with parametrically modelled corrections for covariates. Here, it is described how such models can be employed to extract trends from data collected over several seasons, and this procedure is exemplified by discussing how temporal trends in the load of nutrients carried by the Elbe River can be detected while adjusting for water discharge and other factors. In addition, it is shown how semiparametric models can be used for joint normalisation of several time series of data.</p>","Hadi, Ali","Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], ;;;Statistik [2172]) (Linköpings universitet [276], ;Filosofiska fakulteten [1750])","","","","","","","","BL32, B-huset, Campus Valla, Linköpings universitet, Linköping","eng","2005-12-16T10:15","2005-12-16","2005-12-16","2023-01-30","https://liu.diva-portal.org/smash/get/diva2:21036/FULLTEXT01.pdf","","1","","deprecated","","","","","","true","","",""
"21033","Hussian, Mohamed [mohhu72] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Burdakov, Oleg [olebu87] [0000-0003-1836-4200] (Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328]) (Linköpings universitet [276], Tekniska högskolan [1751]);Sysoev, Oleg [olesy12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","Monotonic regression for the detection of temporal trends in environmental quality data","Artikel i tidskrift","Refereegranskat","eng","Match","0340-6253","","published","54","3","","535","550","2005","","","","","","","","","http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-5124","","","","","","urn:nbn:se:liu:diva-13601","","","","Samhällsvetenskap (5)","","","","","","","","","","","","","","","","","2005-12-16","2005-12-16","2017-12-13","","","4","","deprecated","urn:nbn:se:liu:diva-5124","","","","","false","","",""
"249257","Werner, Peter [petwe54] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Tekniska högskolan [1751])","On the cost-efficiency of probability sampling based mail surveys with a web response option","Doktorsavhandling, sammanläggning","Övrigt vetenskapligt","eng","","","","","","","","","","2005","","11","Linköping","Linköpings universitet","Linköping Studies in Statistics ; 6","1651-1700","1651-1700","91-85299-39-1","","","","","","","urn:nbn:se:liu:diva-28448","13595","","","Matematik (101)","","","<p>Papers included in this doctoral thesis are not included.</p>","<p>Web surveys - the collection of survey data by means of self-administered questionnaires on the Internet - are becoming increasingly popular, perhaps mostly because of advantageous cost factors. If e-mail contacts are used, the cost benefit of a Web survey, compared with a mail or telephone survey, could be major. The reverse of the medal is that Web access is far from universal, and hence Web surveys only permit inference to populations of Web users. However, the Web can be used in combination with traditional response modes in a mixed-mode approach. Such an approach enables data collection from a probability sample of a general population, while still aiming at reducing costs by using the Web.</p><p>This thesis focuses on mixed-mode approaches in which (1) mail contacts are used and (2) a choice between a mail questionnaire and a Web questionnaire is offered. In the first paper, a theoretical framework is developed, enabling comparisons between different mixed-mode approaches with respect to minimum expected cost, subject to a precision requirement. A limited numerical study is performed to examine how the cost is influenced by the Web access rate and the Web response propensity. In the second paper, three mixed-mode approaches are evaluated empirically with respect to cost-efficiency. The mixed-mode approaches are compared with a mail-based reference approach with no Web response option. The cost-efficiency analysis is based on the results of a survey experiment, conducted in a population of university students in spring 2004. It is concluded that each of the three mixed-mode approaches was more cost-efficient than the reference approach.</p>","","","","","","","","","","Sal Planck, Fysikhuset, Campus Valla, Linköping","swe","2005-05-26T10:15","2009-10-09","2009-10-09","2012-12-13","","","1","","deprecated","","","","","","false","","",""
"250904","Löfving, Erik [erilo84] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Tekniska högskolan [1751])","Organizing physical flow data : from input-output tables to data warehouses","Doktorsavhandling, sammanläggning","Övrigt vetenskapligt","eng","","","","","","","","","","2005","","42","Linköping","Linköpings universitet","Linköping Studies in Statistics ; 5","1651-1700","1651-1700","91-85297-55-0","","","","","","","urn:nbn:se:liu:diva-30083","15549","","","Matematik (101)","","","","<p>Data on flows of materials and substances through the economy and the environment are collected by many different organizations and play a key role in the science of industrial ecology. In this thesis, a framework is suggested for structuring and organizing such data. First, the investigation focuses on the quantities of primary interest in material flow studies and how they can be stored and organized in a data warehouse. This process is shown to provide easy access to data, well-structured data management, a basis for knowledge discovery, and effective analysis of collected data. Secondly, a theoretical framework is proposed for handling and structuring multidimensional flow data, and for facilitating mathematics-assisted modeling in industrial ecology. In particular, it is shown how mathematical operations can be used to merge and compare flow data originating from different studies. Finally, it is illustrated how bootstrap analysis, Bayesian models and balancing procedures can be employed to systematize the quality and uncertainty assessment of physical flow data. Together, these three different aspects of handling physical flow data constitute a new framework that offers better knowledge, quality, and consistency of the data used in industrial ecology.</p>","","","","","","","","","","Glashuset, B-huset, Campus Valla, Linköping","swe","2005-09-30T10:15","2009-10-09","2009-10-09","2012-12-17","","","1","","deprecated","","","","","","false","","",""
"250234","Nordgaard, Anders [andno60] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","Sample-size Determination for Analysis of Ecstasy Pills","Konferensbidrag","Övrigt vetenskapligt","eng","","","","","","","The Sixth International Conference on Forensic Statistics, Tempe, AZ, USA","","","2005","","","","","","","","","","","","","","","urn:nbn:se:liu:diva-29420","14764","","drug sampling;beta-prior;resampling","Matematik (101)","","","","<p>By experience, a seizure of pills that is under suspicion to contain drugs will very likely either consist entirely of drug pills of the same kind or consist of pills with no drug-content at all. If this experience could be quantified, it is possible to reduce the number of pills that must be selected for analysis. Recent results show that a Bayesian approach to sample size determination expresses the problem in a more natural way from a forensic point of view, provided an informative prior can be defined. Also, the sample sizes can be further reduced in this framework compared with the more classical Hypergeometric approach. These results have been adopted by the European Network of Forensic Sciences Institutes (ENFSI) in the Guideline on Representative Drug Sampling, published by ENFSI Drug Working Group. In this text, as well as in other published results, it is suggested to use a beta-prior which should be highly left-skewed when assumptions of the above kind can be done. In this paper we show how a beta-prior can be calculated from a data-base of analysed Ecstasy pills. By dividing the data-base items into different sub-populations, it is possible to estimate the parameter in the prior that controls the left-skewness of the distribution.</p>","","","","","","","","","","","","","2009-10-09","2009-10-09","2010-09-28","","","1","","deprecated","","publishedPaper","","","","false","","",""
"21034","Hussian, Mohamed [mohhu72] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","Trend analysis of mercury in fish using nonparametric regression","Rapport","Övrig (populärvetenskap, debatt, mm)","eng","","","","","","7","","","","2005","","","","","LIU-MAI-R, Department of Mathematics, Division of Statistics  ; 2005-07","","","","http://www.ida.liu.se/divisions/stat/research/engo/HussianMercury.pdf;http://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-5124","","","","","","urn:nbn:se:liu:diva-13602","","","additive models;thin plate splines;monotonic regression;trend assessment;normalisation;mercury;fish","Matematik (101)","","","","<p>The International Council for the Exploration of the Sea (ICES) has longcompiled extensive data on contaminants in biota. We investigated how trendassessment of mercury in muscle tissue from fish (flounder and Atlantic cod)might be facilitated by using nonparametric regression to normalise observedlevels of this contaminant with respect to body length and weight. Specifically,we examined response surfaces and annual normalised means obtained byemploying purely additive models (AM), thin plate splines (TPS), andmonotonic regression (MR) to model mercury levels as functions of samplingyear and one or two covariates. Our analysis showed that TPS and MR modelscan be more satisfactory than purely additive models, because the formertechniques enable estimation of time-dependent relationships between themercury concentration and the covariates. However, the major obstacle fortrend assessment of the collected mercury data was a substantial interannualvariation that was related to factors other than body length and weight.Nevertheless, several time series of flounder data that started in the 1970s and1980s showed obvious downward trends, and these trends were particularly2strong in the Elbe estuary. When the analysis was limited to data collected after1990, an overall Mann-Kendall test for all sampling sites revealed astatistically significant downward trend for flounder, whereas it was notsignificant for cod.</p>","","","","","","","","","","","","","2005-12-16","2005-12-16","2009-03-03","","","2","","deprecated","urn:nbn:se:liu:diva-5124","","","","","false","","",""
"266933","Nordgaard, Anders (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","A resampling technique for estimating the power of non-parametric trend tests","Artikel i tidskrift","Refereegranskat","eng","Environmetrics","1180-4009","1099-095X","published","17","3","","257","267","2006","","","","","","","","","","","10.1002/env.746","","","","urn:nbn:se:liu:diva-46037","","","resampling;power function;trend testing;non-parametric;monitoring;time series","Samhällsvetenskap (5)","","","","<p>The power of Mann-Kendall tests and other non-parametric trend tests is normally estimated by performing Monte Carlo simulations in which artificial data are generated according to simple parametric models. Here we introduce a resampling technique for power assessments that can be fully automated and accommodate almost any variation in the collected time series data. A rank regression model is employed to extract error terms representing irregular variation in data that are collected over several seasons and may contain a non-linear trend. Thereafter, an autoregressive moving average (ARMA) bootstrap method is used to generate new time series of error terms for power simulations. A study of water quality data from two Swedish rivers illustrates how our method can provide site- and variable-specific information about the power of the Hirsch and Slack test for monotonic trends. In particular, we show how to clarify the impact of sampling frequency on the power of the trend tests. Copyright (c) 2006 John Wiley &amp; Sons, Ltd.</p>","","","","","","","","","","","","","2009-10-11","2009-10-11","2017-12-13","","","2","","deprecated","","","","","","false","","",""
"1166761","Nordgaard, Anders [andno60] [0000-0001-9385-5443] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik och maskininlärning [878151]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","A resampling technique for estimating the power of non-parametric trend tests","Artikel i tidskrift","Refereegranskat","eng","Environmetrics","1180-4009","1099-095X","published","17","","","257","267","2006","","","","John Wiley & Sons","","","","","","","10.1002/env.746","","","","urn:nbn:se:liu:diva-143764","","","resampling; power function; trend testing; non-parametric; monitoring; time series","Sannolikhetsteori och statistik (10106);Miljövetenskap (10502)","","","","<p>The power of Mann–Kendall tests and other non-parametric trend tests is normally estimated by performingMonte Carlo simulations in which artiﬁcial data are generated according to simple parametric models. Here weintroduce a resampling technique for power assessments that can be fully automated and accommodate almost anyvariation in the collected time series data. A rank regression model is employed to extract error terms representingirregular variation in data that are collected over several seasons and may contain a non-linear trend. Thereafter,an autoregressive moving average (ARMA) bootstrap method is used to generate new time series of error termsfor power simulations. A study of water quality data from two Swedish rivers illustrates how our methodcan provide site- and variable-speciﬁc information about the power of the Hirsch and Slack test for monotonictrends. In particular, we show how to clarify the impact of sampling frequency on the power of the trend tests.</p>","","","","","","","","","","","","","2017-12-15","2017-12-15","2019-07-02","","","2","","deprecated","","","","","","false","","",""
"257128","Burdakov, Oleg [olebu87] [0000-0003-1836-4200] (Linköpings universitet [276], Tekniska högskolan [1751]) (Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328]);Sysoev, Oleg [olesy12] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]);Hussian, Mohamed [mohhu72] (Linköpings universitet [276], Filosofiska fakulteten [1750]) (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330])","An O(n2) algorithm for isotonic regression","Konferensbidrag","Övrigt vetenskapligt","eng","","","","","","","Large-Scale Nonlinear Optimization","25","33","2006","","","New York","Springer Science+Business Media B.V.","Nonconvex Optimization and Its Applications ; 83","1571-568X","","0-387-30063-5","","","10.1007/0-387-30065-1_3","","","","urn:nbn:se:liu:diva-36280","30828","","quadratic programming - large scale optimization - least distance problem - isotonic regression - pool-adjacent-violators algorithm","Matematik (101)","","","","<p>We consider the problem of minimizing the distance from a given <em>n</em>-dimensional vector to a set defined by constraints of the form <em>x</em><sub>i</sub> ≤ <em>x</em><sub>j</sub>. Such constraints induce a partial order of the components <em>x</em><sub>i</sub>, which can be illustrated by an acyclic directed graph. This problem is also known as the isotonic regression (IR) problem. IR has important applications in statistics, operations research and signal processing, with most of them characterized by a very large value of <em>n</em>. For such large-scale problems, it is of great practical importance to develop algorithms whose complexity does not rise with <em>n</em> too rapidly. The existing optimization-based algorithms and statistical IR algorithms have either too high computational complexity or too low accuracy of the approximation to the optimal solution they generate. We introduce a new IR algorithm, which can be viewed as a generalization of the Pool-Adjacent-Violator (PAV) algorithm from completely to partially ordered data. Our algorithm combines both low computational complexity <em>O</em>(<em>n</em><sup>2</sup>) and high accuracy. This allows us to obtain sufficiently accurate solutions to IR problems with thousands of observations.</p>","","","","","","","","","","","","","2009-10-10","2009-10-10","2015-06-02","","","4","","deprecated","","publishedPaper","40th WORKSHOP LARGE SCALE NONLINEAR OPTIMIZATION, Erice, Italy,  June 22 - July 1, 2004,","","","true","","",""
"357983","Burdakov, Oleg [olebu87] [0000-0003-1836-4200] (Linköpings universitet [276], Matematiska institutionen [307], Optimeringslära [2328]) (Linköpings universitet [276], Tekniska högskolan [1751]);Sysoev, Oleg [olesy12] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Grimvall, Anders [andgr70] (Linköpings universitet [276], Institutionen för datavetenskap [281], Statistik [2172]) (Linköpings universitet [276], Filosofiska fakulteten [1750]);Hussian, Mohammed [mohhu72] (Linköpings universitet [276], Matematiska institutionen [307], Statistik [2330]) (Linköpings universitet [276], Filosofiska fakulteten [1750])","An <em>O</em>(<em>n</em><sup>2</sup>) algorithm for isotonic regression problems","Kapitel i bok, del av antologi","Refereegranskat","eng","","","","","","","Large-Scale Nonlinear Optimization","25","33","2006","","","","Springer-Verlag","Nonconvex Optimization and Its Applications ; 83","","","978-0-387-30063-4;0-387-3-0065-1","http://libris.kb.se/bib/10695677?vw=short;http://books.google.se/books?id=egw_X-CiBpoC&hl=sv&source=gbs_ViewAPI&printsec=frontcover&redir_esc=y#v=onepage&q&f=false","","","","","","urn:nbn:se:liu:diva-60581","","","Quadratic programming;large scale optimization;least distance problem;isotonic regression;pool-adjacent-violators algorithm","Beräkningsmatematik (10105)","","","","<p><strong>Large-Scale Nonlinear Optimization </strong>reviews and discusses recent advances in the development of methods and algorithms for nonlinear optimization and its applications, focusing on the large-dimensional case, the current forefront of much research.</p><p></p><p>The chapters of the book, authored by some of the most active and well-known researchers in nonlinear optimization, give an updated overview of the field from different and complementary standpoints, including theoretical analysis, algorithmic development, implementation issues and applications</p>","","","","","","","","","","","","","2010-10-20","2010-10-20","2015-06-02","","","4","","deprecated","urn:nbn:se:liu:diva-65349","","","","","true","","",""
